trip_id,date,date_time,day,driver,car_type,city,price,price_round,start_time,start_address,end_time,end_address,distance in km,duration in minutes
a99a8196-4240-412c-9c8a-681bbb89ad70,02/15/18,"Thursday, February 15, 2018 12:18 AM",Thursday,Vijay,uberGO,Bangalore,320.5,320.5,12:18 AM,"203, 2nd Floor, The Collection, UB City, 24 Vittal Mallya Road, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India",12:53 AM,"Watch Factory Road, Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",18,35
33539533-1f5b-45be-9ac6-76f7056bddf8,02/14/18,"Wednesday, February 14, 2018 6:27 PM",Wednesday,Santhosh,uberGO,Bangalore,215.84,215.8,6:27 PM,"Platinum City, Watch Factory Rd, Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",7:24 PM,"203, 2nd Floor, The Collection, UB City, 24 Vittal Mallya Road, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India",12.3,57
9aa0d730-ab88-4302-8750-c51742fc78ab,02/09/18,"Friday, February 9, 2018 6:31 PM",Friday,Santhoshnaik,uberGO,Bangalore,153.65,153.7,6:31 PM,"2266/17 & 18, Service Road, G Block, Sahakara Nagar, International Airport Road, Hebbal, G Block, Sahakar Nagar, Byatarayanapura, Bengaluru, Karnataka 560092, India",7:34 PM,"Watch Factory Road, Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",11.5,63
91bd233b-c3cc-4cbd-b64e-c735f3d31a5b,02/09/18,"Friday, February 9, 2018 4:55 PM",Friday,Harish,uberGO,Bangalore,167.31,167.3,4:55 PM,"Platinum City, Watch Factory Rd, Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",5:26 PM,"2266/17 & 18, Service Road, G Block, Sahakara Nagar, International Airport Road, Hebbal, G Block, Sahakar Nagar, Byatarayanapura, Bengaluru, Karnataka 560092, India",9.1,31
b5d59e92-a6fe-429a-a3ca-53c04cd459e4,02/03/18,"Saturday, February 3, 2018 3:28 PM",Saturday,DEVISINH,uberGO,Ahmedabad,169.15,169.2,3:28 PM,"Gandhinagar - Kudasan Road, Urjanagar 1, Gandhinagar, Gujarat 382421, India",4:03 PM,"Hansol, Ahmedabad, Gujarat 380003, India",18,35
1922ccca-d0e7-4bbf-80ef-86b56a34482a,01/16/18,"Tuesday, January 16, 2018 9:51 PM",Tuesday,Suresh,uberGO,Bangalore,169.91,169.9,9:51 PM,"24, New A1:K116 Rd, Jaladarsini Layout, Mathikere, Bengaluru, Karnataka 560094, India",10:36 PM,"Watch Factory Road, Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",6.3,45
75a56cc6-a392-4aff-bca9-2c61f9e6ea8f,01/16/18,"Tuesday, January 16, 2018 8:15 PM",Tuesday,Deelip,uberGO,Bangalore,115.72,115.7,8:15 PM,"#12 HMT Link Road,, Off Tumkur Road, Yeshwanthpur Industrial Area, Phase 1, Yeshwanthpur, Bengaluru, Karnataka 560022, India",8:34 PM,"No 22 3rd Floor new bel road iti layout, Mathikere, AG's Layout, Mathikere, Bengaluru, Karnataka 560054, India",6,19
9e0611ee-fda7-4731-b582-f73fe6a6e795,12/25/17,"Monday, December 25, 2017 10:15 PM",Monday,Ravi kumar,uberGO,Bangalore,335.47,335.5,10:15 PM,Entry/ Exit Towards Cubbon Park MG Road Metro Station,11:06 PM,"Watch Factory Road, Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",17.4,51
92634d4f-e8c2-4b81-8871-57706c523584,12/24/17,"Sunday, December 24, 2017 6:27 PM",Sunday,Mahesha,uberGO,Bangalore,658.25,658.3,6:27 PM,Uber Zone Behind Cafe Coffee Day Kempegowda International Airport,7:27 PM,"Watch Factory Road, Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",34.4,60
3f8bff8b-217b-49b4-b003-b94d0bb0b3a8,12/06/17,"Wednesday, December 6, 2017 8:44 PM",Wednesday,Pradeep,uberGO,Delhi NCR,110.43,110.4,8:44 PM,"Plot No M 03, Sector 18, Noida, Uttar Pradesh 201301, India",9:06 PM,"Sector 36, Noida, Uttar Pradesh 201303, India",4,22
